Date,Name,Year,Letterboxd URI,Rating
2025-03-15,Prey for the Devil,2022,https://boxd.it/pelQ,3
2025-03-15,The Menu,2022,https://boxd.it/lScm,2.5
2025-03-15,V/H/S/99,2022,https://boxd.it/BZYO,2
2025-03-15,The Wandering Earth,2019,https://boxd.it/jtJc,3.5
2025-03-15,Flatliners,2017,https://boxd.it/e4CK,3.5
2025-03-15,Safe,2012,https://boxd.it/2oxc,3
2025-03-15,Greenland,2020,https://boxd.it/j1Um,2
2025-03-15,War,2007,https://boxd.it/1WhA,3.5
2025-03-15,Spy,2015,https://boxd.it/71Ks,4
2025-03-15,Faster,2010,https://boxd.it/ZKy,2
2025-03-15,Countdown,2019,https://boxd.it/m83K,2.5
2025-03-15,Pitch Black,2000,https://boxd.it/26iS,4
2025-03-15,Project Wolf Hunting,2022,https://boxd.it/u5n4,2.5
2025-03-15,Ad Astra,2019,https://boxd.it/ePzI,3
2025-03-15,Ninja Assassin,2009,https://boxd.it/1zZ0,3
2025-03-15,2 Guns,2013,https://boxd.it/4oAk,4
2025-03-15,Extraction 2,2023,https://boxd.it/q4Zo,4
2025-03-15,The Accountant,2016,https://boxd.it/9EhI,3
2025-03-15,Malignant,2021,https://boxd.it/mViE,1
2025-03-15,"As Above, So Below",2014,https://boxd.it/7yui,4.5
2025-03-18,2001: A Space Odyssey,1968,https://boxd.it/2bf0,2
2025-03-19,Mickey 17,2025,https://boxd.it/q1Dk,2.5
2025-03-26,Mile 22,2018,https://boxd.it/bEwM,1.5
2025-04-14,The Matrix Resurrections,2021,https://boxd.it/n87k,2.5
2025-04-14,The Matrix,1999,https://boxd.it/2a1m,5
2025-04-14,The Matrix Reloaded,2003,https://boxd.it/2a1c,4
2025-04-14,The Matrix Revolutions,2003,https://boxd.it/2a12,3.5
2025-04-19,Sinister,2012,https://boxd.it/2TnW,4.5
2025-04-19,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,4.5
2025-04-19,The Naked Gun 2½: The Smell of Fear,1991,https://boxd.it/18Yu,3.5
2025-05-08,District 9,2009,https://boxd.it/1Iik,2.5
2025-05-24,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,4.5
2025-05-30,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,3.5
2025-06-18,Warfare,2025,https://boxd.it/LbRo,4
2025-06-22,Total Recall,1990,https://boxd.it/29qK,4.5
2025-06-25,The Ninth Gate,1999,https://boxd.it/29YM,3
2025-07-02,The Running Man,1987,https://boxd.it/29q6,3
2025-07-03,Commando,1985,https://boxd.it/1UTs,4
2025-07-04,Demolition Man,1993,https://boxd.it/1XVm,4.5
2025-07-09,Battle: Los Angeles,2011,https://boxd.it/QIS,3
2025-07-10,Triple Frontier,2019,https://boxd.it/dZUO,4
2025-07-11,Sicario: Day of the Soldado,2018,https://boxd.it/e4fG,3
2025-07-16,Final Destination Bloodlines,2025,https://boxd.it/l5y4,4
2025-07-17,Novocaine,2025,https://boxd.it/JmdA,3
2025-07-22,Event Horizon,1997,https://boxd.it/20d8,4
2025-07-24,Sunshine,2007,https://boxd.it/28Xy,4
2025-07-25,Meg 2: The Trench,2023,https://boxd.it/mLvo,3
2025-07-26,Contact,1997,https://boxd.it/29OM,4
2025-07-27,Hell House LLC,2015,https://boxd.it/cdjy,3
2025-07-27,Deadstream,2022,https://boxd.it/xryY,4
2025-07-28,Butterfly Kisses,2018,https://boxd.it/hgWo,2
2025-07-31,Europa Report,2013,https://boxd.it/5n0s,3
2025-07-31,Terrified,2017,https://boxd.it/hCyy,3
2025-08-05,Coherence,2013,https://boxd.it/6xza,4
2025-08-06,Triangle,2009,https://boxd.it/1tQG,4
2025-08-07,Equilibrium,2002,https://boxd.it/211s,4
2025-08-13,Shutter,2004,https://boxd.it/1JbY,3
2025-08-17,The Borderlands,2013,https://boxd.it/6dIw,3.5
2025-08-17,Host,2020,https://boxd.it/r5O4,2
2025-08-18,Lake Mungo,2008,https://boxd.it/1rWM,2.5
2025-08-19,The Ritual,2017,https://boxd.it/fo0I,3
2025-08-20,Man on Fire,2004,https://boxd.it/1Yvk,5
2025-08-21,Collateral,2004,https://boxd.it/28F0,3
2025-08-23,Possessor,2020,https://boxd.it/fsJW,4
2025-08-24,Ghost in the Shell,1995,https://boxd.it/1YYc,4
2025-08-25,Oblivion,2013,https://boxd.it/2Bzq,3.5
2025-08-28,The Losers,2010,https://boxd.it/1ddo,3
2025-08-29,Nobody,2021,https://boxd.it/mLqS,3
2025-09-03,Judge Dredd,1995,https://boxd.it/1Yzm,3
2025-09-06,The Atticus Institute,2015,https://boxd.it/9vTS,3.5
2025-09-08,Pandorum,2009,https://boxd.it/1Eo4,4
2025-09-13,Aliens,1986,https://boxd.it/29PA,3.5
2025-09-14,The Day the Earth Stood Still,2008,https://boxd.it/1WQ6,3
2025-09-16,Knowing,2009,https://boxd.it/1Pmy,3.5
2025-09-17,Elysium,2013,https://boxd.it/2cBm,4
2025-09-18,Exam,2009,https://boxd.it/1mn8,3
2025-09-19,The Beekeeper,2024,https://boxd.it/wJzS,4
2025-09-20,High-Rise,2015,https://boxd.it/7tmo,2.5
2025-09-24,RoboCop,1987,https://boxd.it/22Wu,3
2025-09-26,Raw Deal,1986,https://boxd.it/27rw,3
2025-09-26,Eraser,1996,https://boxd.it/1Z6U,4
2025-09-27,Taken,2008,https://boxd.it/1ZXa,5
2025-10-01,Underworld,2003,https://boxd.it/2aHs,2.5
2025-10-03,The Naked Gun,2025,https://boxd.it/Da9k,4
2025-10-03,The Pyramid,2014,https://boxd.it/8Jmm,1.5
2025-10-03,The Descent,2005,https://boxd.it/1YNy,2
2025-10-11,ARQ,2016,https://boxd.it/erMS,3
2025-10-12,Cobra,1986,https://boxd.it/1XDM,4
2025-10-13,Universal Soldier,1992,https://boxd.it/1YUa,3
2025-10-18,The Conjuring: The Devil Made Me Do It,2021,https://boxd.it/eXZY,3
2025-10-19,The Possession of Michael King,2014,https://boxd.it/8eOY,3.5
2025-10-20,Jeruzalem,2015,https://boxd.it/bhVY,1.5
2025-10-25,Torque,2004,https://boxd.it/1VyU,4.5
2025-10-31,Speed,1994,https://boxd.it/28qk,4.5
2025-11-07,The Signal,2014,https://boxd.it/77hc,3.5
2025-11-10,The Man from Nowhere,2010,https://boxd.it/AZy,4
2025-11-12,Sphere,1998,https://boxd.it/1WXm,3
2025-11-12,Train to Busan,2016,https://boxd.it/dSQU,4.5
2025-11-19,Red Scorpion,1988,https://boxd.it/1RsI,3
